Market,City,y15,y14,y10,y05,y03,,t1yr,t5yr,t10yr,t12yr,,Current,ShortTerm,MidTerm,LongTerm
10020,"Abbeville, LA",#N/A,#N/A,-0.76,-0.74,-0.56,,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A
10100,"Aberdeen, SD",-0.34,-0.28,-0.16,-0.49,-0.35,,-0.06,-0.18,0.15,0.01,,-0.87,-1.32,0.17,-0.48
10140,"Aberdeen, WA",-0.37,-0.21,-0.4,-0.46,-0.45,,-0.16,0.03,0.09,0.09,,-1.67,0.02,-0.21,-0.27
10180,"Abilene, TX",0.21,0.31,0.25,1.01,1.19,,-0.1,-0.04,-0.8,-0.98,,-0.63,0.11,-1.64,-1.45
10220,"Ada, OK",-0.8,-0.88,-0.92,-0.97,-0.91,,0.08,0.12,0.17,0.11,,-0.14,-0.07,-0.56,-0.73
10300,"Adrian, MI",-0.28,-0.27,-0.21,-0.17,-0.38,,0,-0.06,-0.11,0.1,,-0.32,-0.58,-0.49,0.06
10420,"Akron, OH",2.02,2.02,1.88,1.14,1.11,,0,0.14,0.88,0.91,,1.97,2.96,3.89,3.39
10460,"Alamogordo, NM",-0.74,-0.6,-0.49,-0.71,-0.58,,-0.14,-0.25,-0.04,-0.17,,-1.92,-2.06,-0.6,-1.14
10500,"Albany, GA",0.05,0.26,0.25,1.06,1.14,,-0.21,-0.21,-1.01,-1.09,,-1.69,-0.92,-2.14,-1.68
10540,"Albany, OR",0.06,-0.02,0.07,-0.07,0,,0.08,-0.01,0.13,0.06,,0.67,-0.03,0.34,0.06
10540,"Albany-Lebanon, OR",0.06,-0.02,0.07,-0.07,0,,0.08,-0.01,0.13,0.06,,0.67,-0.03,0.34,0.06
10580,"Albany-Schenectady-Troy, NY",1.63,1.75,1.86,1.32,1.08,,-0.13,-0.23,0.31,0.54,,0.59,0.41,2.56,2.65
10620,"Albemarle, NC",-0.48,-0.54,-0.52,-0.65,-0.61,,0.06,0.04,0.17,0.13,,0.03,-0.23,-0.15,-0.36
10660,"Albert Lea, MN",-1,-0.79,-0.58,-0.74,-0.87,,-0.2,-0.42,-0.26,-0.13,,-2.65,-3.25,-1.2,-1.08
10700,"Albertville, AL",-0.31,-0.35,-0.33,-0.24,-0.28,,0.05,0.02,-0.07,-0.03,,0.07,-0.15,-0.51,-0.33
10740,"Albuquerque, NM",1.63,1.67,1.67,2.61,2.51,,-0.04,-0.04,-0.97,-0.87,,1.34,1.51,-0.63,0.41
10760,"Alexander City, AL",#N/A,#N/A,-0.93,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A
10780,"Alexandria, LA",0.22,0.19,0.24,0.73,0.64,,0.03,-0.02,-0.51,-0.42,,0.46,0.15,-0.98,-0.32
10820,"Alexandria, MN",-0.28,-0.5,-0.58,-0.52,-0.51,,0.21,0.29,0.24,0.23,,1.45,1.33,-0.05,0.02
10860,"Alice, TX",-0.94,-0.72,-0.84,-0.86,-1.09,,-0.22,-0.11,-0.09,0.15,,-2.76,-1.31,-1.06,-0.51
10880,"Allegan, MI",#N/A,#N/A,0.06,-0.04,-0.13,,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A
10900,"Allentown-Bethlehem-Easton, PA-NJ",1.99,1.68,1.75,1.69,1.37,,0.31,0.24,0.3,0.62,,4.47,3.18,2.41,3.21
10940,"Alma, MI",-0.78,-1.05,-0.83,-1.08,-0.88,,0.27,0.05,0.3,0.1,,1.39,-0.68,-0.16,-0.86
10980,"Alpena, MI",-0.92,-0.9,-0.94,-0.92,-0.91,,-0.02,0.01,0,-0.02,,-1.08,-0.75,-0.97,-0.98
11020,"Altoona, PA",0.05,0.15,0.28,0.3,0.2,,-0.1,-0.23,-0.25,-0.15,,-0.79,-1.19,-0.33,-0.09
11060,"Altus, OK",-1.18,-1.1,-0.91,-1.05,-1.08,,-0.08,-0.28,-0.13,-0.11,,-1.88,-2.71,-1.23,-1.34
11100,"Amarillo, TX",0.76,0.87,0.67,0.74,0.64,,-0.1,0.09,0.02,0.12,,-0.09,1.47,0.69,1.03
11140,"Americus, GA",-1.07,-1.1,-0.99,-0.37,-0.77,,0.03,-0.07,-0.69,-0.29,,-0.81,-1.46,-2.64,-1.12
11180,"Ames, IA",-0.1,-0.08,0.21,-0.1,-0.2,,-0.02,-0.31,0,0.1,,-0.27,-1.85,0.18,0.13
11220,"Amsterdam, NY",-0.65,-0.7,-0.61,-0.97,-0.89,,0.05,-0.04,0.32,0.24,,-0.25,-0.88,0.1,-0.39
11260,"Anchorage, AK",1.3,1.33,1.33,0.47,0.77,,-0.02,-0.03,0.83,0.54,,1.1,1.19,3.25,1.78
11300,"Anderson, IN",#N/A,#N/A,-0.06,-0.1,-0.02,,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A
11340,"Anderson, SC",#N/A,#N/A,0.12,0.26,0.2,,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A
11380,"Andrews, TX",-1.15,-0.89,-1.08,-1.31,-1.35,,-0.26,-0.07,0.16,0.2,,-3.29,-1.24,-0.75,-0.84
11420,"Angola, IN",-0.51,-0.48,-0.22,-0.55,-0.39,,-0.04,-0.29,0.04,-0.13,,-0.82,-2.14,-0.16,-0.89
11460,"Ann Arbor, MI",1.54,1.31,1.4,1.48,1.69,,0.23,0.14,0.05,-0.15,,3.39,2.22,1.5,1.09
11500,"Anniston-Oxford-Jacksonville, AL",-0.2,-0.24,0,0.01,0.01,,0.04,-0.2,-0.21,-0.21,,0.12,-1.39,-0.52,-0.52
11500,"Anniston-Oxford, AL",-0.2,-0.24,0,0.01,0.01,,0.04,-0.2,-0.21,-0.21,,0.12,-1.39,-0.52,-0.52
11540,"Appleton, WI",0.95,1.03,0.88,1.05,0.8,,-0.09,0.07,-0.1,0.15,,0.23,1.52,0.61,1.4
11580,"Arcadia, FL",-1.17,-1.15,-1.25,-1.08,-0.96,,-0.02,0.08,-0.09,-0.21,,-1.3,-0.57,-1.48,-1.62
11620,"Ardmore, OK",-0.39,-0.49,-0.25,-0.39,-0.2,,0.1,-0.14,0,-0.19,,0.4,-1.28,-0.28,-0.9
11660,"Arkadelphia, AR",-1.22,-1.12,-1.3,-1.34,-1.1,,-0.09,0.08,0.12,-0.12,,-1.99,-0.57,-1.04,-1.65
11700,"Asheville, NC",1.11,1.04,1.1,1.27,1.28,,0.07,0,-0.17,-0.17,,1.63,1.12,0.69,0.82
11740,"Ashland, OH",-0.58,-0.59,-0.63,-0.79,-1.04,,0.01,0.06,0.21,0.47,,-0.47,-0.19,-0.16,0.35
11780,"Ashtabula, OH",-0.21,-0.3,-0.39,-0.31,-0.26,,0.09,0.18,0.11,0.05,,0.51,0.86,-0.16,-0.21
11820,"Astoria, OR",-0.27,-0.2,-0.21,-0.4,-0.5,,-0.07,-0.06,0.13,0.23,,-0.88,-0.51,0.06,0.14
11860,"Atchison, KS",-1.17,-1.16,-1.21,-1.19,-0.96,,-0.01,0.04,0.02,-0.21,,-1.26,-0.87,-1.18,-1.73
11900,"Athens, OH",-0.73,-0.54,-0.43,-0.87,-0.61,,-0.18,-0.3,0.14,-0.12,,-2.23,-2.3,-0.13,-1.2
11940,"Athens, TN",-0.79,-0.87,-0.83,-0.92,-0.92,,0.08,0.03,0.13,0.13,,-0.17,-0.59,-0.55,-0.63
11980,"Athens, TX",-0.57,-0.7,-0.46,-0.59,-0.4,,0.13,-0.11,0.02,-0.17,,0.45,-1.28,-0.44,-1.04
12020,"Athens-Clarke County, GA",0.4,0.33,0.55,0.83,1.21,,0.07,-0.15,-0.43,-0.81,,0.98,-0.53,-0.47,-1.22
12060,"Atlanta-Sandy Springs-Roswell, GA",3.08,3.08,3.12,2.58,2.41,,0,-0.05,0.5,0.66,,3.05,2.86,4.26,4.21
12060,"Atlanta-Sandy Springs-Marietta, GA",3.08,3.08,3.12,2.58,2.41,,0,-0.05,0.5,0.66,,3.05,2.86,4.26,4.21
12100,"Atlantic City-Hammonton, NJ",0.58,0.74,0.69,0.91,0.93,,-0.17,-0.11,-0.33,-0.36,,-0.77,0.12,-0.12,0
12100,"Atlantic City, NJ",0.58,0.74,0.69,0.91,0.93,,-0.17,-0.11,-0.33,-0.36,,-0.77,0.12,-0.12,0
12140,"Auburn, IN",-0.44,-0.65,-0.44,-0.56,-0.6,,0.21,0,0.11,0.16,,1.25,-0.58,-0.2,-0.18
12180,"Auburn, NY",-0.52,-0.48,-0.48,-0.6,-0.61,,-0.04,-0.05,0.07,0.08,,-0.88,-0.7,-0.33,-0.41
12220,"Auburn-Opelika, AL",0.12,0.1,-0.02,-0.01,-0.28,,0.03,0.14,0.14,0.41,,0.33,1.03,0.27,0.98
12260,"Augusta-Richmond County, GA-SC",0.92,0.87,0.67,1,1.09,,0.06,0.26,-0.08,-0.17,,1.37,2.47,0.46,0.56
12300,"Augusta-Waterville, ME",0.29,0.45,0.45,0.17,0.29,,-0.16,-0.16,0.13,0,,-1,-0.43,0.73,0.16
12380,"Austin, MN",-0.66,-0.53,-0.68,-0.72,-0.7,,-0.12,0.02,0.07,0.04,,-1.68,-0.37,-0.55,-0.64
12420,"Austin-Round Rock, TX",2.18,2.33,2.15,2.01,2.48,,-0.15,0.03,0.16,-0.3,,0.94,2.56,2.51,1.24
12460,"Bainbridge, GA",-1.05,-1.1,-0.75,-1.05,-0.95,,0.05,-0.29,0,-0.09,,-0.63,-2.8,-0.77,-1.3
12540,"Bakersfield, CA",1.23,1.27,1.29,1.27,1.51,,-0.04,-0.05,-0.04,-0.28,,0.9,1.02,1.18,0.55
12580,"Baltimore-Columbia-Towson, MD",2.32,2.42,2.35,1.09,1.22,,-0.09,-0.03,1.23,1.1,,1.56,2.32,5.2,3.8
12580,"Baltimore-Towson, MD",2.32,2.42,2.35,1.09,1.22,,-0.09,-0.03,1.23,1.1,,1.56,2.32,5.2,3.8
12620,"Bangor, ME",0.33,0.38,0.46,0.04,0.24,,-0.05,-0.12,0.3,0.1,,-0.06,-0.28,1.12,0.26
12660,"Baraboo, WI",-0.31,-0.14,-0.28,-0.48,-0.25,,-0.17,-0.03,0.18,-0.05,,-1.67,-0.23,0.11,-0.64
12700,"Barnstable Town, MA",0.87,0.89,0.99,0.98,0.9,,-0.01,-0.12,-0.11,-0.02,,0.76,0.26,0.71,0.91
12740,"Barre, VT",0.35,0.34,0.69,0.31,0.23,,0.02,-0.34,0.05,0.12,,0.49,-1.65,0.78,0.59
12780,"Bartlesville, OK",-0.78,-0.89,-0.68,-0.67,-0.66,,0.1,-0.1,-0.12,-0.13,,0.05,-1.43,-0.98,-1
12820,"Bastrop, LA",-1.1,-1.11,-1.09,-1.12,-1.11,,0.01,-0.01,0.02,0.01,,-1.05,-1.07,-1.07,-1.12
12860,"Batavia, NY",-0.49,-0.44,-0.62,-0.64,-0.63,,-0.05,0.13,0.15,0.15,,-0.87,0.41,-0.28,-0.3
12900,"Batesville, AR",-0.93,-1.04,-0.75,-1,-0.87,,0.12,-0.17,0.07,-0.05,,0.01,-2.02,-0.6,-1.15
12940,"Baton Rouge, LA",1.64,1.6,1.41,2.23,2.21,,0.03,0.22,-0.59,-0.58,,1.91,3.01,0.02,0.77
12980,"Battle Creek, MI",0.19,0.29,0.15,0.07,0,,-0.1,0.05,0.12,0.19,,-0.59,0.63,0.4,0.52
13020,"Bay City, MI",0.07,-0.14,0.17,0.16,0.09,,0.21,-0.09,-0.08,-0.01,,1.78,-0.64,-0.05,0.11
13060,"Bay City, TX",-0.78,-0.94,-0.79,-0.97,-0.76,,0.17,0.02,0.19,-0.02,,0.57,-0.78,-0.36,-1.04
13100,"Beatrice, NE",-1.01,-1.08,-1.02,-1.07,-1.13,,0.07,0,0.06,0.11,,-0.47,-0.98,-0.9,-0.81
13140,"Beaumont-Port Arthur, TX",1,0.93,0.89,1.01,1.23,,0.08,0.11,-0.01,-0.23,,1.61,1.67,0.85,0.41
13180,"Beaver Dam, WI",-0.23,-0.37,-0.27,-0.44,-0.23,,0.15,0.04,0.22,0,,0.95,-0.06,0.21,-0.46
13220,"Beckley, WV",-0.09,-0.12,-0.23,-0.33,-0.32,,0.03,0.14,0.24,0.23,,0.13,0.79,0.3,0.23
13260,"Bedford, IN",-0.77,-0.61,-0.67,-0.73,-0.92,,-0.16,-0.1,-0.04,0.15,,-2.1,-1.14,-0.78,-0.37
13300,"Beeville, TX",-1.23,-1.11,-1.14,-1.18,-0.85,,-0.12,-0.08,-0.05,-0.38,,-2.21,-1.54,-1.27,-2.14
13340,"Bellefontaine, OH",-0.87,-0.8,-0.74,-0.74,-0.91,,-0.07,-0.13,-0.13,0.04,,-1.45,-1.52,-1.06,-0.65
13380,"Bellingham, WA",0.83,0.86,0.7,0.77,0.69,,-0.03,0.13,0.06,0.14,,0.58,1.72,0.82,1.1
13420,"Bemidji, MN",-0.44,-0.26,-0.4,-0.64,-0.54,,-0.18,-0.04,0.2,0.09,,-1.89,-0.44,0.04,-0.43
13460,"Bend-Redmond, OR",0.79,0.82,0.68,0.54,0.48,,-0.03,0.12,0.25,0.31,,0.54,1.59,1.23,1.29
13460,"Bend, OR",0.79,0.82,0.68,0.54,0.48,,-0.03,0.12,0.25,0.31,,0.54,1.59,1.23,1.29
13500,"Bennettsville, SC",-1.38,-1.43,-1.35,-0.84,-1.31,,0.05,-0.02,-0.54,-0.07,,-0.98,-1.48,-2.63,-1.02
13540,"Bennington, VT",-0.23,-0.12,-0.06,-0.41,-0.31,,-0.11,-0.17,0.18,0.09,,-1.14,-1.07,0.33,-0.21
13620,"Berlin, NH-VT",-0.76,-0.67,-0.75,-0.74,-0.82,,-0.09,-0.01,-0.01,0.06,,-1.46,-0.65,-0.8,-0.6
13660,"Big Rapids, MI",-0.79,-0.99,-0.98,-0.95,-0.81,,0.2,0.19,0.16,0.02,,0.8,0.21,-0.63,-0.92
13700,"Big Spring, TX",-0.95,-0.83,-1.05,-1.08,-1.05,,-0.12,0.1,0.13,0.1,,-1.89,-0.16,-0.77,-0.85
13740,"Billings, MT",0.66,0.81,0.84,1.11,1.24,,-0.15,-0.18,-0.45,-0.58,,-0.6,-0.2,-0.24,-0.35
13780,"Binghamton, NY",0.83,0.74,0.64,0.88,0.82,,0.09,0.19,-0.04,0.01,,1.59,1.96,0.52,0.89
13820,"Birmingham-Hoover, AL",1.83,1.83,1.78,2.84,2.91,,0,0.05,-1.01,-1.09,,1.79,2.18,-0.6,0.11
13860,"Bishop, CA",#N/A,#N/A,-0.61,-1.01,-0.94,,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A
13900,"Bismarck, ND",0.38,0.28,0.34,-0.06,0.26,,0.11,0.05,0.45,0.12,,1.24,0.63,1.35,0.23
13940,"Blackfoot, ID",-0.61,-0.38,-0.44,-0.81,-0.51,,-0.23,-0.18,0.2,-0.1,,-2.49,-1.37,0,-1.09
13980,"Blacksburg-Christiansburg-Radford, VA",-0.01,-0.05,-0.13,0.88,0.52,,0.05,0.12,-0.89,-0.53,,0.35,0.75,-2.22,-0.46
14020,"Bloomington, IN",0.12,0.22,0.31,0.97,1.13,,-0.1,-0.2,-0.85,-1.02,,-0.7,-0.9,-1.7,-1.58
14060,"Bloomington-Normal, IL",#N/A,#N/A,0.33,0.18,0.17,,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A
14100,"Bloomsburg-Berwick, PA",-0.36,-0.21,-0.41,-0.31,-0.58,,-0.16,0.04,-0.06,0.22,,-1.63,0.13,-0.57,0.22
14140,"Bluefield, WV-VA",-0.13,-0.18,-0.16,-0.16,-0.19,,0.05,0.02,0.03,0.06,,0.28,0.03,-0.11,-0.04
14180,"Blytheville, AR",-0.65,-1.11,-0.78,-0.94,-0.89,,0.45,0.13,0.28,0.24,,3.02,-0.28,-0.14,-0.37
14220,"Bogalusa, LA",-1.03,-0.96,-1.08,-1.01,-0.96,,-0.07,0.05,-0.02,-0.07,,-1.57,-0.57,-1.14,-1.2
14260,"Boise City, ID",1.46,1.49,1.41,2.15,2.05,,-0.02,0.06,-0.69,-0.58,,1.29,1.9,-0.23,0.68
14260,"Boise City-Nampa, ID",1.46,1.49,1.41,2.15,2.05,,-0.02,0.06,-0.69,-0.58,,1.29,1.9,-0.23,0.68
14300,"Bonham, TX",#N/A,#N/A,-1.1,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A
14340,"Boone, IA",-1.02,-1.26,-0.98,-1.03,-0.97,,0.24,-0.04,0.01,-0.05,,0.88,-1.46,-0.99,-1.18
14380,"Boone, NC",-0.19,-0.33,-0.11,-0.19,-0.22,,0.14,-0.08,0,0.03,,0.97,-0.75,-0.13,-0.13
14420,"Borger, TX",-1.03,-0.97,-0.98,-1.05,-1.09,,-0.07,-0.06,0.01,0.05,,-1.6,-1.25,-0.98,-0.94
14460,"Boston-Cambridge-Newton, MA-NH",3.53,3.49,3.57,2.37,2.46,,0.04,-0.05,1.15,1.06,,3.83,3.28,6.24,5
14460,"Boston-Cambridge-Quincy, MA-NH",3.53,3.49,3.57,2.37,2.46,,0.04,-0.05,1.15,1.06,,3.83,3.28,6.24,5
14500,"Boulder, CO",2,1.93,1.89,1.89,1.84,,0.07,0.1,0.11,0.16,,2.54,2.63,2.12,2.27
14540,"Bowling Green, KY",0.18,0.33,0.11,0.46,0.6,,-0.15,0.07,-0.28,-0.42,,-1.03,0.83,-0.58,-0.6
14580,"Bozeman, MT",0.77,0.72,0.91,0.32,0.5,,0.05,-0.15,0.45,0.27,,1.15,-0.1,1.93,0.97
14620,"Bradford, PA",-0.92,-0.92,-0.84,-1.05,-0.84,,0,-0.07,0.13,-0.08,,-0.9,-1.3,-0.56,-1.26
14660,"Brainerd, MN",-0.07,0.07,-0.1,-0.29,-0.13,,-0.14,0.03,0.22,0.07,,-1.21,0.34,0.39,-0.14
14700,"Branson, MO",0.28,0.32,0.61,0.04,0,,-0.04,-0.33,0.24,0.28,,-0.06,-1.59,1.15,0.72
14740,"Bremerton-Silverdale, WA",0.64,0.65,0.81,0.77,0.82,,0,-0.16,-0.13,-0.18,,0.61,-0.26,0.48,0.3
14780,"Brenham, TX",-0.5,-0.8,-0.59,-0.7,-0.69,,0.29,0.08,0.19,0.19,,1.86,-0.22,-0.16,-0.25
14820,"Brevard, NC",-0.66,-0.56,-0.65,-0.73,-0.84,,-0.1,-0.01,0.07,0.18,,-1.45,-0.58,-0.51,-0.31
14860,"Bridgeport-Stamford-Norwalk, CT",2.4,2.43,2.49,2.39,2.44,,-0.04,-0.09,0,-0.04,,2.09,1.96,2.47,2.27
14940,"Brigham City, UT",#N/A,#N/A,-0.69,-1.05,-1.1,,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A
15020,"Brookhaven, MS",-0.88,-1.1,-0.92,-0.94,-1.02,,0.22,0.04,0.06,0.14,,0.92,-0.82,-0.81,-0.62
15060,"Brookings, OR",-0.71,-0.65,-0.76,-0.75,-0.96,,-0.06,0.05,0.04,0.25,,-1.18,-0.28,-0.69,-0.15
15100,"Brookings, SD",-0.59,-0.52,-0.71,-0.9,-0.83,,-0.07,0.13,0.31,0.24,,-1.15,0.31,0,-0.33
15140,"Brownsville, TN",#N/A,#N/A,-1.36,-0.78,-1.27,,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A
15180,"Brownsville-Harlingen, TX",0.91,0.94,1.06,1.11,0.97,,-0.02,-0.15,-0.2,-0.06,,0.73,0.12,0.58,0.95
15220,"Brownwood, TX",-0.87,-0.92,-0.83,-0.9,-0.98,,0.06,-0.04,0.03,0.11,,-0.4,-1.09,-0.78,-0.64
15260,"Brunswick, GA",0.13,0.16,0.12,1,0.78,,-0.03,0.01,-0.88,-0.65,,-0.16,0.29,-1.96,-0.64
15340,"Bucyrus, OH",-0.75,-0.74,-0.62,-0.86,-0.61,,-0.01,-0.13,0.11,-0.14,,-0.85,-1.47,-0.4,-1.24
15380,"Buffalo-Cheektowaga-Niagara Falls, NY",2.18,1.9,2.12,1.51,1.7,,0.28,0.06,0.67,0.48,,4.44,2.33,3.66,2.69
15380,"Buffalo-Niagara Falls, NY",2.18,1.9,2.12,1.51,1.7,,0.28,0.06,0.67,0.48,,4.44,2.33,3.66,2.69
15420,"Burley, ID",-0.75,-0.78,-0.68,-0.88,-0.78,,0.03,-0.07,0.13,0.03,,-0.54,-1.13,-0.4,-0.83
15460,"Burlington, IA-IL",-0.56,-0.56,-0.38,-0.69,-0.71,,0,-0.17,0.13,0.15,,-0.56,-1.53,-0.11,-0.32
15500,"Burlington, NC",0.36,0.29,0.33,0.19,0.46,,0.06,0.02,0.17,-0.1,,0.86,0.51,0.7,-0.09
15540,"Burlington-South Burlington, VT",0.89,1.04,1.07,1.18,1.38,,-0.15,-0.18,-0.28,-0.49,,-0.29,0,0.39,-0.06
15580,"Butte-Silver Bow, MT",-0.44,-0.44,-0.33,-0.7,-0.6,,-0.01,-0.12,0.26,0.16,,-0.5,-1.08,0.26,-0.33
15620,"Cadillac, MI",-0.67,-0.71,-0.68,-0.79,-0.58,,0.03,0.01,0.11,-0.09,,-0.41,-0.58,-0.44,-1.03
15660,"Calhoun, GA",0.06,-0.03,-0.26,-0.27,-0.22,,0.09,0.33,0.33,0.28,,0.79,2.01,0.48,0.41
15700,"Cambridge, MD",-0.78,-0.68,-0.93,-0.89,-0.89,,-0.11,0.15,0.1,0.1,,-1.67,0.28,-0.71,-0.66
15740,"Cambridge, OH",-0.84,-0.83,-0.56,-0.78,-0.76,,-0.01,-0.29,-0.07,-0.08,,-0.94,-2.49,-0.74,-1
15780,"Camden, AR",-1.11,-0.89,-0.85,-1.14,-1.14,,-0.22,-0.26,0.03,0.03,,-2.92,-2.38,-0.8,-1.08
15820,"Campbellsville, KY",-1.05,-0.89,-0.99,-0.86,-0.84,,-0.16,-0.06,-0.19,-0.21,,-2.33,-1.16,-1.46,-1.4
15860,"Ca?on City, CO",-0.86,-0.99,-1.02,-0.93,-0.84,,0.14,0.16,0.07,-0.02,,0.24,0.04,-0.88,-0.99
15860,"Canon City, CO",-0.86,-0.99,-1.02,-0.93,-0.84,,0.14,0.16,0.07,-0.02,,0.24,0.04,-0.88,-0.99
15900,"Canton, IL",-1.06,-0.83,-1.02,-1.09,-1.04,,-0.23,-0.04,0.03,-0.03,,-2.95,-1.03,-0.98,-1.18
15940,"Canton-Massillon, OH",1.23,1.11,1.16,1.76,1.7,,0.12,0.07,-0.53,-0.47,,2.17,1.6,-0.09,0.57
15980,"Cape Coral-Fort Myers, FL",1.35,1.41,1.34,1.38,1.5,,-0.05,0.01,-0.02,-0.15,,0.9,1.53,1.26,0.98
16020,"Cape Girardeau, MO-IL",0.04,0.04,0.17,0.36,0.34,,0,-0.13,-0.32,-0.3,,0.05,-0.66,-0.6,-0.41
16020,"Cape Girardeau-Jackson, MO-IL",0.04,0.04,0.17,0.36,0.34,,0,-0.13,-0.32,-0.3,,0.05,-0.66,-0.6,-0.41
16060,"Carbondale-Marion, IL",-0.08,-0.06,-0.47,-0.63,-0.47,,-0.02,0.39,0.55,0.39,,-0.23,2.35,0.78,0.32
16060,"Carbondale, IL",-0.08,-0.06,-0.47,-0.63,-0.47,,-0.02,0.39,0.55,0.39,,-0.23,2.35,0.78,0.32
16100,"Carlsbad-Artesia, NM",-0.37,-0.43,-0.63,-0.81,-0.84,,0.06,0.26,0.44,0.47,,0.09,1.22,0.37,0.35
16180,"Carson City, NV",0.2,-0.02,-0.14,0.03,-0.06,,0.22,0.34,0.16,0.26,,1.98,2.08,0.21,0.65
16220,"Casper, WY",0.19,0.23,0.14,0,0.15,,-0.04,0.06,0.2,0.04,,-0.16,0.64,0.57,0.08
16260,"Cedar City, UT",-0.19,-0.41,-0.42,-0.6,-0.62,,0.22,0.23,0.41,0.43,,1.6,1.03,0.51,0.45
16300,"Cedar Rapids, IA",0.82,0.94,0.79,1.48,1.17,,-0.13,0.03,-0.66,-0.36,,-0.21,1.19,-0.78,0.57
16340,"Cedartown, GA",-0.94,-0.85,-1.08,-0.88,-1.13,,-0.09,0.15,-0.06,0.2,,-1.68,0.1,-1.24,-0.42
16380,"Celina, OH",-0.72,-0.51,-0.54,-0.81,-0.93,,-0.21,-0.18,0.09,0.21,,-2.43,-1.52,-0.35,-0.3
16420,"Central City, KY",#N/A,#N/A,-1.12,-0.97,-0.94,,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A
16460,"Centralia, IL",-0.74,-0.76,-0.89,-0.84,-0.93,,0.02,0.14,0.09,0.19,,-0.61,0.16,-0.69,-0.4
16500,"Centralia, WA",-0.34,-0.24,-0.27,-0.28,-0.33,,-0.09,-0.07,-0.06,-0.01,,-1.11,-0.61,-0.43,-0.32
16540,"Chambersburg-Waynesboro, PA",0.13,0.01,0.09,0.16,0.09,,0.12,0.04,-0.03,0.04,,1.11,0.32,0,0.23
16540,"Chambersburg, PA",0.13,0.01,0.09,0.16,0.09,,0.12,0.04,-0.03,0.04,,1.11,0.32,0,0.23
16580,"Champaign-Urbana, IL",0.4,0.41,0.56,1.56,1.46,,-0.02,-0.16,-1.16,-1.06,,0.25,-0.51,-2.18,-1.11
16620,"Charleston, WV",0.7,0.65,0.88,1.62,1.74,,0.05,-0.17,-0.92,-1.04,,1.1,-0.32,-1.29,-0.98
